Chr	Position	Chr_Pos	ModStatus	CMC	Mod
18S	918	18S_918	Unm	18S_919	Yes
18S	919	18S_919	Y	18S_919	Yes
18S	920	18S_920	Unm	18S_919	Yes
18S	921	18S_921	Unm	18S_919	Yes
18S	965	18S_965	Unm	18S_967	Yes
18S	966	18S_966	Unm	18S_967	Yes
18S	967	18S_967	Y	18S_967	Yes
18S	968	18S_968	Unm	18S_967	Yes
18S	969	18S_969	Unm	18S_967	Yes
18S	1003	18S_1003	Unm	18S_1005	Yes
18S	1004	18S_1004	Unm	18S_1005	Yes
18S	1005	18S_1005	Y	18S_1005	Yes
18S	1006	18S_1006	Unm	18S_1005	Yes
18S	1007	18S_1007	Unm	18S_1005	Yes
18S	1044	18S_1044	Unm	18S_1046	Yes
18S	1045	18S_1045	Unm	18S_1046	Yes
18S	1046	18S_1046	Y	18S_1046	Yes
18S	1047	18S_1047	Unm	18S_1046	Yes
18S	1048	18S_1048	Unm	18S_1046	Yes
18S	1049	18S_1049	Unm	18S_1047	Yes
18S	1055	18S_1055	Unm	18S_1057	Yes
18S	1056	18S_1056	Unm	18S_1057	Yes
18S	1057	18S_1057	Y	18S_1057	Yes
18S	1058	18S_1058	Unm	18S_1057	Yes
18S	1059	18S_1059	Unm	18S_1057	Yes
18S	1080	18S_1080	Unm	18S_1082	Yes
18S	1081	18S_1081	Unm	18S_1082	Yes
18S	1082	18S_1082	Y	18S_1082	Yes
18S	1083	18S_1083	Unm	18S_1082	Yes
18S	1084	18S_1084	Unm	18S_1082	Yes
18S	1135	18S_1135	Unm	18S_1137	Yes
18S	1136	18S_1136	Unm	18S_1137	Yes
18S	1137	18S_1137	Y	18S_1137	Yes
18S	1138	18S_1138	Unm	18S_1137	Yes
18S	1139	18S_1139	Unm	18S_1137	Yes
18S	1173	18S_1173	Unm	18S_1175	Yes
18S	1174	18S_1174	Unm	18S_1175	Yes
18S	1175	18S_1175	Y	18S_1175	Yes
18S	1176	18S_1176	Unm	18S_1175	Yes
18S	1177	18S_1177	Unm	18S_1175	Yes
18S	1178	18S_1178	Y	18S_1178	Yes
18S	1179	18S_1179	Unm	18S_1178	Yes
18S	1180	18S_1180	Unm	18S_1178	Yes
18S	1230	18S_1230	Unm	18S_1232	Yes
18S	1231	18S_1231	Unm	18S_1232	Yes
18S	1232	18S_1232	Y	18S_1232	Yes
18S	1233	18S_1233	Unm	18S_1232	Yes
18S	1234	18S_1234	Unm	18S_1232	Yes
18S	1236	18S_1236	Unm	18S_1238	Yes
18S	1237	18S_1237	Unm	18S_1238	Yes
18S	1238	18S_1238	Y	18S_1238	Yes
18S	1239	18S_1239	Unm	18S_1238	Yes
18S	1240	18S_1240	Unm	18S_1238	Yes
18S	1242	18S_1242	Unm	18S_1244	Yes
18S	1243	18S_1243	Unm	18S_1244	Yes
18S	1244	18S_1244	Y	18S_1244	Yes
18S	1245	18S_1245	Unm	18S_1244	Yes
18S	1246	18S_1246	Unm	18S_1244	Yes
18S	1247	18S_1247	Unm	18S_1248	Yes
18S	1248	18S_1248	Y	18S_1248	Yes
18S	1249	18S_1249	Unm	18S_1248	Yes
18S	1250	18S_1250	Unm	18S_1248	Yes
18S	1345	18S_1345	Unm	18S_1347	Yes
18S	1346	18S_1346	Unm	18S_1347	Yes
18S	1347	18S_1347	Y	18S_1347	Yes
18S	1348	18S_1348	Unm	18S_1347	Yes
18S	1349	18S_1349	Unm	18S_1347	Yes
18S	1365	18S_1365	Unm	18S_1367	Yes
18S	1366	18S_1366	Unm	18S_1367	Yes
18S	1367	18S_1367	Y	18S_1367	Yes
18S	1368	18S_1368	Unm	18S_1367	Yes
18S	1369	18S_1369	Unm	18S_1367	Yes
18S	1443	18S_1443	Unm	18S_1445	Yes
18S	1444	18S_1444	Unm	18S_1445	Yes
18S	1445	18S_1445	Y	18S_1445	Yes
18S	1446	18S_1446	Unm	18S_1445	Yes
18S	1447	18S_1447	Unm	18S_1445	Yes
18S	1623	18S_1623	Unm	18S_1625	Yes
18S	1624	18S_1624	Unm	18S_1625	Yes
18S	1625	18S_1625	Y	18S_1625	Yes
18S	1626	18S_1626	Unm	18S_1625	Yes
18S	1627	18S_1627	Unm	18S_1625	Yes
18S	1641	18S_1641	Unm	18S_1643	Yes
18S	1642	18S_1642	Unm	18S_1643	Yes
18S	1643	18S_1643	Y	18S_1643	Yes
18S	1644	18S_1644	Unm	18S_1643	Yes
18S	1645	18S_1645	Unm	18S_1643	Yes
18S	1690	18S_1690	Unm	18S_1692	Yes
18S	1691	18S_1691	Unm	18S_1692	Yes
18S	1692	18S_1692	Y	18S_1692	Yes
18S	1693	18S_1693	Unm	18S_1692	Yes
18S	1694	18S_1694	Unm	18S_1692	Yes
18S	1350	18S_1350	Unm	18S_1349	Yes
18S	1351	18S_1351	Unm	18S_1349	Yes
28S	1393	28S_1393	Unm	28S_1395	Yes
28S	1394	28S_1394	Unm	28S_1395	Yes
28S	1395	28S_1395	Y	28S_1395	Yes
28S	1396	28S_1396	Unm	28S_1395	Yes
28S	1397	28S_1397	Unm	28S_1395	Yes
28S	1488	28S_1488	Unm	28S_1490	Yes
28S	1489	28S_1489	Unm	28S_1490	Yes
28S	1490	28S_1490	Y	28S_1490	Yes
28S	1491	28S_1491	Unm	28S_1490	Yes
28S	1492	28S_1492	Unm	28S_1490	Yes
28S	1494	28S_1494	Unm	28S_1496	Yes
28S	1495	28S_1495	Unm	28S_1496	Yes
28S	1496	28S_1496	Y	28S_1496	Yes
28S	1497	28S_1497	Unm	28S_1496	Yes
28S	1498	28S_1498	Unm	28S_1496	Yes
28S	1544	28S_1544	Unm	28S_1546	Yes
28S	1545	28S_1545	Unm	28S_1546	Yes
28S	1546	28S_1546	Y	28S_1546	Yes
28S	1547	28S_1547	Unm	28S_1546	Yes
28S	1548	28S_1548	Unm	28S_1546	Yes
28S	1579	28S_1579	Unm	28S_1581	Yes
28S	1580	28S_1580	Unm	28S_1581	Yes
28S	1581	28S_1581	Y	28S_1581	Yes
28S	1582	28S_1582	Unm	28S_1581	Yes
28S	1583	28S_1583	Unm	28S_1581	Yes
28S	1584	28S_1584	Unm	28S_1583	Yes
28S	1585	28S_1585	Unm	28S_1583	Yes
28S	1586	28S_1586	Unm	28S_1584	Yes
28S	1592	28S_1592	Unm	28S_1594	Yes
28S	1593	28S_1593	Unm	28S_1594	Yes
28S	1594	28S_1594	Y	28S_1594	Yes
28S	1595	28S_1595	Unm	28S_1594	Yes
28S	1596	28S_1596	Unm	28S_1594	Yes
28S	1660	28S_1660	Unm	28S_1662	Yes
28S	1661	28S_1661	Unm	28S_1662	Yes
28S	1662	28S_1662	Y	28S_1662	Yes
28S	1663	28S_1663	Unm	28S_1662	Yes
28S	1664	28S_1664	Unm	28S_1662	Yes
28S	1665	28S_1665	Unm	28S_1664	Yes
28S	1666	28S_1666	Unm	28S_1664	Yes
28S	2261	28S_2261	Unm	28S_2263	Yes
28S	2262	28S_2262	Unm	28S_2263	Yes
28S	2263	28S_2263	Y	28S_2263	Yes
28S	2264	28S_2264	Unm	28S_2263	Yes
28S	2265	28S_2265	Unm	28S_2263	Yes
28S	2383	28S_2383	Unm	28S_2385	Yes
28S	2384	28S_2384	Unm	28S_2385	Yes
28S	2385	28S_2385	Y	28S_2385	Yes
28S	2386	28S_2386	Unm	28S_2385	Yes
28S	2387	28S_2387	Unm	28S_2385	Yes
28S	2590	28S_2590	Unm	28S_2592	Yes
28S	2591	28S_2591	Unm	28S_2592	Yes
28S	2592	28S_2592	Y	28S_2592	Yes
28S	2593	28S_2593	Unm	28S_2592	Yes
28S	2594	28S_2594	Unm	28S_2592	Yes
28S	2595	28S_2595	Unm	28S_2596	Yes
28S	2596	28S_2596	Y	28S_2596	Yes
28S	2597	28S_2597	Unm	28S_2596	Yes
28S	2598	28S_2598	Unm	28S_2596	Yes
28S	3291	28S_3291	Unm	28S_3293	Yes
28S	3292	28S_3292	Unm	28S_3293	Yes
28S	3293	28S_3293	Y	28S_3293	Yes
28S	3294	28S_3294	Unm	28S_3293	Yes
28S	3295	28S_3295	Unm	28S_3293	Yes
28S	3296	28S_3296	Unm	28S_3295	Yes
28S	3297	28S_3297	Unm	28S_3295	Yes
28S	3349	28S_3349	Unm	28S_3351	Yes
28S	3350	28S_3350	Unm	28S_3351	Yes
28S	3351	28S_3351	Y	28S_3351	Yes
28S	3352	28S_3352	Unm	28S_3351	Yes
28S	3353	28S_3353	Unm	28S_3351	Yes
28S	3369	28S_3369	Unm	28S_3371	Yes
28S	3370	28S_3370	Unm	28S_3371	Yes
28S	3371	28S_3371	Y	28S_3371	Yes
28S	3372	28S_3372	Unm	28S_3371	Yes
28S	3373	28S_3373	Unm	28S_3371	Yes
28S	3384	28S_3384	Unm	28S_3386	Yes
28S	3385	28S_3385	Unm	28S_3386	Yes
28S	3386	28S_3386	Y	28S_3386	Yes
28S	3387	28S_3387	Unm	28S_3386	Yes
28S	3388	28S_3388	Unm	28S_3386	Yes
28S	3389	28S_3389	Unm	28S_3390	Yes
28S	3390	28S_3390	Y	28S_3390	Yes
28S	3391	28S_3391	Unm	28S_3390	Yes
28S	3392	28S_3392	Unm	28S_3390	Yes
28S	3412	28S_3412	Unm	28S_3414	Yes
28S	3413	28S_3413	Unm	28S_3414	Yes
28S	3414	28S_3414	Y	28S_3414	Yes
28S	3415	28S_3415	Unm	28S_3414	Yes
28S	3416	28S_3416	Unm	28S_3414	Yes
28S	3417	28S_3417	Unm	28S_3418	Yes
28S	3418	28S_3418	Y	28S_3418	Yes
28S	3419	28S_3419	Unm	28S_3418	Yes
28S	3420	28S_3420	Unm	28S_3418	Yes
28S	3421	28S_3421	Unm	28S_3420	Yes
28S	3422	28S_3422	Unm	28S_3420	Yes
28S	3423	28S_3423	Unm	28S_3424	Yes
28S	3424	28S_3424	Y	28S_3424	Yes
28S	3425	28S_3425	Unm	28S_3424	Yes
28S	3426	28S_3426	Unm	28S_3424	Yes
28S	3427	28S_3427	Unm	28S_3426	Yes
28S	3428	28S_3428	Unm	28S_3426	Yes
28S	3472	28S_3472	Unm	28S_3474	Yes
28S	3473	28S_3473	Unm	28S_3474	Yes
28S	3474	28S_3474	Y	28S_3474	Yes
28S	3475	28S_3475	Unm	28S_3474	Yes
28S	3476	28S_3476	Unm	28S_3474	Yes
28S	3477	28S_3477	Unm	28S_3478	Yes
28S	3478	28S_3478	Y	28S_3478	Yes
28S	3479	28S_3479	Unm	28S_3478	Yes
28S	3480	28S_3480	Unm	28S_3478	Yes
28S	3498	28S_3498	Unm	28S_3500	Yes
28S	3499	28S_3499	Unm	28S_3500	Yes
28S	3500	28S_3500	Y	28S_3500	Yes
28S	3501	28S_3501	Unm	28S_3500	Yes
28S	3502	28S_3502	Unm	28S_3500	Yes
28S	3505	28S_3505	Unm	28S_3507	Yes
28S	3506	28S_3506	Unm	28S_3507	Yes
28S	3507	28S_3507	Y	28S_3507	Yes
28S	3508	28S_3508	Unm	28S_3507	Yes
28S	3509	28S_3509	Unm	28S_3507	Yes
28S	3510	28S_3510	Unm	28S_3509	Yes
28S	3511	28S_3511	Unm	28S_3509	Yes
28S	3538	28S_3538	Unm	28S_3540	Yes
28S	3539	28S_3539	Unm	28S_3540	Yes
28S	3540	28S_3540	Y	28S_3540	Yes
28S	3541	28S_3541	Unm	28S_3540	Yes
28S	3542	28S_3542	Unm	28S_3540	Yes
28S	3574	28S_3574	Unm	28S_3576	Yes
28S	3575	28S_3575	Unm	28S_3576	Yes
28S	3576	28S_3576	Y	28S_3576	Yes
28S	3577	28S_3577	Unm	28S_3576	Yes
28S	3578	28S_3578	Unm	28S_3576	Yes
28S	3613	28S_3613	Unm	28S_3615	Yes
28S	3614	28S_3614	Unm	28S_3615	Yes
28S	3615	28S_3615	Y	28S_3615	Yes
28S	3616	28S_3616	Unm	28S_3615	Yes
28S	3617	28S_3617	Unm	28S_3615	Yes
28S	3943	28S_3943	Unm	28S_3945	Yes
28S	3944	28S_3944	Unm	28S_3945	Yes
28S	3945	28S_3945	Y	28S_3945	Yes
28S	3946	28S_3946	Unm	28S_3945	Yes
28S	3947	28S_3947	Unm	28S_3945	Yes
28S	3948	28S_3948	Y	28S_3948	Yes
28S	3949	28S_3949	Unm	28S_3948	Yes
28S	3950	28S_3950	Unm	28S_3948	Yes
28S	3951	28S_3951	Y	28S_3951	Yes
28S	3952	28S_3952	Unm	28S_3951	Yes
28S	3953	28S_3953	Unm	28S_3951	Yes
28S	3962	28S_3962	Unm	28S_3964	Yes
28S	3963	28S_3963	Unm	28S_3964	Yes
28S	3964	28S_3964	Y	28S_3964	Yes
28S	3965	28S_3965	Unm	28S_3964	Yes
28S	3966	28S_3966	Unm	28S_3964	Yes
28S	4003	28S_4003	Unm	28S_4005	Yes
28S	4004	28S_4004	Unm	28S_4005	Yes
28S	4005	28S_4005	Y	28S_4005	Yes
28S	4006	28S_4006	Unm	28S_4005	Yes
28S	4007	28S_4007	Unm	28S_4005	Yes
28S	4011	28S_4011	Unm	28S_4013	Yes
28S	4012	28S_4012	Unm	28S_4013	Yes
28S	4013	28S_4013	Y	28S_4013	Yes
28S	4014	28S_4014	Unm	28S_4013	Yes
28S	4015	28S_4015	Unm	28S_4013	Yes
28S	4053	28S_4053	Unm	28S_4055	Yes
28S	4054	28S_4054	Unm	28S_4055	Yes
28S	4055	28S_4055	Y	28S_4055	Yes
28S	4056	28S_4056	Unm	28S_4055	Yes
28S	4057	28S_4057	Unm	28S_4055	Yes
28S	4070	28S_4070	Unm	28S_4072	Yes
28S	4071	28S_4071	Unm	28S_4072	Yes
28S	4072	28S_4072	Y	28S_4072	Yes
28S	4073	28S_4073	Unm	28S_4072	Yes
28S	4074	28S_4074	Unm	28S_4072	Yes
28S	4075	28S_4075	Y	28S_4075	Yes
28S	4076	28S_4076	Unm	28S_4075	Yes
28S	4077	28S_4077	Unm	28S_4075	Yes
28S	4081	28S_4081	Unm	28S_4083	Yes
28S	4082	28S_4082	Unm	28S_4083	Yes
28S	4083	28S_4083	Y	28S_4083	Yes
28S	4084	28S_4084	Unm	28S_4083	Yes
28S	4085	28S_4085	Unm	28S_4083	Yes
28S	4092	28S_4092	Unm	28S_4094	Yes
28S	4093	28S_4093	Unm	28S_4094	Yes
28S	4094	28S_4094	Y	28S_4094	Yes
28S	4095	28S_4095	Unm	28S_4094	Yes
28S	4096	28S_4096	Unm	28S_4094	Yes
28S	4107	28S_4107	Unm	28S_4109	Yes
28S	4108	28S_4108	Unm	28S_4109	Yes
28S	4109	28S_4109	Y	28S_4109	Yes
28S	4110	28S_4110	Unm	28S_4109	Yes
28S	4111	28S_4111	Unm	28S_4109	Yes
28S	4121	28S_4121	Unm	28S_4123	Yes
28S	4122	28S_4122	Unm	28S_4123	Yes
28S	4123	28S_4123	Y	28S_4123	Yes
28S	4124	28S_4124	Unm	28S_4123	Yes
28S	4125	28S_4125	Unm	28S_4123	Yes
28S	4143	28S_4143	Unm	28S_4145	Yes
28S	4144	28S_4144	Unm	28S_4145	Yes
28S	4145	28S_4145	Y	28S_4145	Yes
28S	4146	28S_4146	Unm	28S_4145	Yes
28S	4147	28S_4147	Unm	28S_4145	Yes
28S	4150	28S_4150	Unm	28S_4152	Yes
28S	4151	28S_4151	Unm	28S_4152	Yes
28S	4152	28S_4152	Y	28S_4152	Yes
28S	4153	28S_4153	Unm	28S_4152	Yes
28S	4154	28S_4154	Unm	28S_4152	Yes
28S	4171	28S_4171	Unm	28S_4173	Yes
28S	4172	28S_4172	Unm	28S_4173	Yes
28S	4173	28S_4173	Y	28S_4173	Yes
28S	4174	28S_4174	Unm	28S_4173	Yes
28S	4175	28S_4175	Unm	28S_4173	Yes
28S	4181	28S_4181	Unm	28S_4183	Yes
28S	4182	28S_4182	Unm	28S_4183	Yes
28S	4183	28S_4183	Y	28S_4183	Yes
28S	4184	28S_4184	Unm	28S_4183	Yes
28S	4185	28S_4185	Unm	28S_4183	Yes
28S	4186	28S_4186	Unm	28S_4184	Yes
28S	4202	28S_4202	Unm	28S_4204	Yes
28S	4203	28S_4203	Unm	28S_4204	Yes
28S	4204	28S_4204	Y	28S_4204	Yes
28S	4205	28S_4205	Unm	28S_4204	Yes
28S	4206	28S_4206	Unm	28S_4204	Yes
28S	4226	28S_4226	Unm	28S_4228	Yes
28S	4227	28S_4227	Unm	28S_4228	Yes
28S	4228	28S_4228	Y	28S_4228	Yes
28S	4229	28S_4229	Unm	28S_4228	Yes
28S	4230	28S_4230	Unm	28S_4228	Yes
28S	4231	28S_4231	Y	28S_4231	Yes
28S	4232	28S_4232	Unm	28S_4231	Yes
28S	4233	28S_4233	Unm	28S_4231	Yes
28S	4278	28S_4278	Unm	28S_4280	Yes
28S	4279	28S_4279	Unm	28S_4280	Yes
28S	4280	28S_4280	Y	28S_4280	Yes
28S	4281	28S_4281	Unm	28S_4280	Yes
28S	4282	28S_4282	Unm	28S_4280	Yes
28S	4286	28S_4286	Unm	28S_4288	Yes
28S	4287	28S_4287	Unm	28S_4288	Yes
28S	4288	28S_4288	Y	28S_4288	Yes
28S	4289	28S_4289	Unm	28S_4288	Yes
28S	4290	28S_4290	Unm	28S_4288	Yes
28S	4323	28S_4323	Unm	28S_4325	Yes
28S	4324	28S_4324	Unm	28S_4325	Yes
28S	4325	28S_4325	Y	28S_4325	Yes
28S	4326	28S_4326	Unm	28S_4325	Yes
28S	4327	28S_4327	Unm	28S_4325	Yes
28S	4339	28S_4339	Unm	28S_4341	Yes
28S	4340	28S_4340	Unm	28S_4341	Yes
28S	4341	28S_4341	Y	28S_4341	Yes
28S	4342	28S_4342	Unm	28S_4341	Yes
28S	4343	28S_4343	Unm	28S_4341	Yes
28S	4617	28S_4617	Unm	28S_4619	Yes
28S	4618	28S_4618	Unm	28S_4619	Yes
28S	4619	28S_4619	Y	28S_4619	Yes
28S	4620	28S_4620	Unm	28S_4619	Yes
28S	4621	28S_4621	Unm	28S_4619	Yes
28S	4646	28S_4646	Unm	28S_4648	Yes
28S	4647	28S_4647	Unm	28S_4648	Yes
28S	4648	28S_4648	Y	28S_4648	Yes
28S	4649	28S_4649	Unm	28S_4648	Yes
28S	4650	28S_4650	Unm	28S_4648	Yes
28S	4655	28S_4655	Unm	28S_4657	Yes
28S	4656	28S_4656	Unm	28S_4657	Yes
28S	4657	28S_4657	Y	28S_4657	Yes
28S	4658	28S_4658	Unm	28S_4657	Yes
28S	4659	28S_4659	Unm	28S_4657	Yes
18S	1	18S_1	Unm	Unm	No
18S	2	18S_2	Unm	Unm	No
18S	3	18S_3	Unm	Unm	No
18S	4	18S_4	Unm	Unm	No
18S	5	18S_5	Unm	Unm	No
18S	6	18S_6	Unm	Unm	No
18S	7	18S_7	Unm	Unm	No
18S	8	18S_8	Unm	Unm	No
18S	9	18S_9	Unm	Unm	No
18S	10	18S_10	Unm	Unm	No
18S	11	18S_11	Unm	Unm	No
18S	12	18S_12	Unm	Unm	No
18S	13	18S_13	Unm	Unm	No
18S	14	18S_14	Unm	Unm	No
18S	15	18S_15	Unm	Unm	No
18S	16	18S_16	Unm	Unm	No
18S	17	18S_17	Unm	Unm	No
18S	18	18S_18	Unm	Unm	No
18S	19	18S_19	Unm	Unm	No
18S	20	18S_20	Unm	Unm	No
18S	21	18S_21	Unm	Unm	No
18S	22	18S_22	Unm	Unm	No
18S	23	18S_23	Unm	Unm	No
18S	24	18S_24	Unm	Unm	No
18S	25	18S_25	Unm	Unm	No
18S	26	18S_26	Unm	Unm	No
18S	27	18S_27	Unm	Unm	No
18S	28	18S_28	Unm	Unm	No
18S	29	18S_29	Unm	Unm	No
18S	30	18S_30	Unm	Unm	Yes
18S	31	18S_31	Unm	Unm	Yes
18S	39	18S_39	Unm	Unm	No
18S	40	18S_40	Unm	Unm	No
18S	41	18S_41	Unm	Unm	No
18S	42	18S_42	Unm	Unm	No
18S	43	18S_43	Unm	Unm	No
18S	44	18S_44	Unm	Unm	No
18S	45	18S_45	Unm	Unm	No
18S	46	18S_46	Unm	Unm	No
18S	47	18S_47	Unm	Unm	No
18S	48	18S_48	Unm	Unm	No
18S	49	18S_49	Unm	Unm	No
18S	50	18S_50	Unm	Unm	No
18S	51	18S_51	Unm	Unm	No
18S	52	18S_52	Unm	Unm	No
18S	53	18S_53	Unm	Unm	No
18S	54	18S_54	Unm	Unm	No
18S	55	18S_55	Unm	Unm	No
18S	56	18S_56	Unm	Unm	No
18S	57	18S_57	Unm	Unm	No
18S	58	18S_58	Unm	Unm	No
18S	59	18S_59	Unm	Unm	No
18S	60	18S_60	Unm	Unm	No
18S	61	18S_61	Unm	Unm	No
18S	62	18S_62	Unm	Unm	No
18S	63	18S_63	Unm	Unm	No
18S	64	18S_64	Unm	Unm	No
18S	65	18S_65	Unm	Unm	No
18S	66	18S_66	Unm	Unm	No
18S	67	18S_67	Unm	Unm	No
18S	68	18S_68	Unm	Unm	No
18S	69	18S_69	Unm	Unm	No
18S	70	18S_70	Unm	Unm	No
18S	71	18S_71	Unm	Unm	No
18S	72	18S_72	Unm	Unm	No
18S	73	18S_73	Unm	Unm	No
18S	74	18S_74	Unm	Unm	No
18S	75	18S_75	Unm	Unm	No
18S	76	18S_76	Unm	Unm	No
18S	77	18S_77	Unm	Unm	No
18S	78	18S_78	Unm	Unm	No
18S	79	18S_79	Unm	Unm	No
18S	80	18S_80	Unm	Unm	No
18S	81	18S_81	Unm	Unm	No
18S	82	18S_82	Unm	Unm	No
18S	83	18S_83	Unm	Unm	No
18S	84	18S_84	Unm	Unm	No
18S	85	18S_85	Unm	Unm	No
18S	86	18S_86	Unm	Unm	No
18S	87	18S_87	Unm	Unm	No
18S	88	18S_88	Unm	Unm	No
18S	89	18S_89	Unm	Unm	Yes
18S	90	18S_90	Unm	Unm	Yes
18S	96	18S_96	Unm	Unm	Yes
18S	97	18S_97	Unm	Unm	Yes
18S	98	18S_98	Unm	Unm	No
18S	99	18S_99	Unm	Unm	No
18S	100	18S_100	Unm	Unm	No
18S	101	18S_101	Unm	Unm	Yes
18S	102	18S_102	Unm	Unm	Yes
18S	112	18S_112	Unm	Unm	Yes
18S	113	18S_113	Unm	Unm	Yes
18S	114	18S_114	Unm	Unm	No
18S	115	18S_115	Unm	Unm	Yes
18S	116	18S_116	Unm	Unm	Yes
18S	122	18S_122	Unm	Unm	Yes
18S	123	18S_123	Unm	Unm	Yes
18S	124	18S_124	Unm	Unm	No
18S	125	18S_125	Unm	Unm	No
18S	126	18S_126	Unm	Unm	No
